,review,stars,date,country
23,"✅ Trip Verified |   I really like flying British Airways particularly in their new Club World. The seats are great, have a privacy screen, comfortable enough for sleeping and BA crew are engaging and high spirited. Clearly, they must have been short of them because the business class meal service didn’t even start until 2 hours into the flight. When I commented, I received a rather surly look. There was no apology just an off the cuff excuse about him being the only member of crew in this section of the cabin. This is not at all what I expect from BA particularly when you consider the price paid for the seat and the fact, they make you pay even more to just to choose where you sit. Come on BA – surely you can do better than this?",5,18th April 2025, (Australia) 
24,"✅ Trip Verified |   Could not book online the night before because the system was down. Arrived early at airport to check in, to find our premium economy seats were downgraded to economy. What’s worse, the split my family so I, my wife, and autistic son sat separately. If I could give minus stars, I would. Shambles of an airline ",1,18th April 2025, (United Kingdom) 
25,"✅ Trip Verified | Having had some rough experiences with BA in recent years, I did not look forward to this particular flight. However, it turned out to be a decent trip. The staff were really engaged and seemed to enjoy what they were doing. Food was acceptable, although there has to be other options than pasta or chicken on long-haul flights! Seating was good and the IFE worked well.",7,16th April 2025, (Sweden) 
26,"✅ Trip Verified |   This comfortable flight was BA at its best. Excellent start in the Chelsea Lounge with Krug behind the bar. Lounge hosts were welcoming and friendly, food not quite up to par but much better onboard. The First Suite is spacious and comfortable, and the two cabin crew were both experienced, friendly, professional and personable. They sprang to action quickly after takeoff, making beds or serving dinner as required. The menu was excellent with a well cooked beef fillet and delicious salmon starter. The new Nyetimber 1086 is an exceptionally good wine! Overall the service was well relaxed and intuitive. The cabin was  comfortably cool and I left the flight feeling refreshed. BA have made some poor choices of late with their loyalty programme, but their staff still shine and they really got it right on this flight.",9,16th April 2025, (United Kingdom) 
27,"✅ Trip Verified |   Punta Cana Terminal B check in was straightforward with separate Club World desks. Agent was polite, issued boarding cards, provided a voucher for the VIP lounge and explained how to find it. No fast track security unless you paid $50 per passenger but that was the airport, not BA. VIP lounge was comfortable but not quiet due to 3 crying babies but that's life! Flight boarding was on time, we were group 2 and it was well managed by gate staff Old style club world seating but the cabin was clean, cabin crew were on hand and offered champagne or orange juice, there was a bottle of water in the drawer with the White Company amenity pack. White Company duvet was clean in a sealed bag. Order for drinks was taken before take off. Drinks were served promptly followed by dinner which we ordered immediately after take off. My starter of cream of leek soup was delicious served with warm bread. I declined the main course as it was late (choice was fillet steak or shrimp linguine). Dessert was chocolate mousse or cheese and biscuits however they found both for me as I didn't have the main. Excellent pinot noir from South Africa, refills were offered. Following dinner I got about 5 hours sleep and found the lay flat bed comfortable but I am pretty small. The duvet and pillow were great. Breakfast was ho hum, no orange juice was offered, bircher muesli was fine, fruit wasn't ripe and was almost inedible. The muffin was very cold and dry, coffee okay. I declined the breakfast baguette. Excellent cabin staff and having read so many negative reviews the experience exceeded my expectations.",9,15th April 2025, (United Kingdom) 
28,✅ Trip Verified |   The employee at Venice Airport checkin was very rude to us. We made a mistake and got in the Gold or Silver line (as we didn’t see the sign) and when we got to the counter she scolded and berated us for being in the wrong line. She said we didn’t know how to read and would not let it go even after we apologized and said we would be happy to go to the end of the other line. She continued to be discourteous toward us and made us feel like we were terrible people. This was the very worst customer service we have experienced by an airline.,3,13th April 2025, (United States) 
29,"✅ Trip Verified |   I had only 1 bag with me, a carry on trolley. Everyone one in boarding group 3 & 4 were forced to check-in their trolley carry-ons. They asked to take out any laptops, batteries, etc.... The woman at the boarding gate was very rude to me as I was explaining to her that this was my only bag and had nowhere to carry my laptop or other stuff that I need onboard. I tried to explain to her that the bag will not withstand being carried in the hold as it is fragile and showed her a crack from the one time I checked it in before. The bag was visibly small complying with the carry-on bag measurements.",1,12th April 2025, (United Kingdom) 
30,"✅ Trip Verified | Check in and security at T5 quick. Both Galleries lounges pretty much at capacity, not able to access B gates lounge as short haul, A gates departure Food options reasonable. Bus to aircraft which was quite new. On time departure. Reasonable food and drink options. Pleasant cabin crew. Bags off quickly.",7,9th April 2025, (United Kingdom) 
31,"Not Verified |  LHR T5 BA Gold Wing worked well. Pleasant check in and very fast security screening. Concorde room service attentive. C gate boarding OK but nothing special for First Passengers. Latest BA version of first with only 8 suites with privacy doors. Comfortable seat with plenty of stowage. Good screen and good choice of IFE. Amenity kit good quality and bedding, pillows cushions and blankets all good. Excellent menu and food very well presented. Cabin crew could not have been more attentive and helpful without being obtrusive. On time departure and early arrival. Bags delivered relatively swiftly and priority tagged bags were first off. All in all one of the best BA First flights I’ve had in many years. Whilst not touching the Middle Eastern carriers BA First on this showing is easily the best way to cross the Atlantic.",9,3rd April 2025, (United Kingdom) 
32,"Not Verified |  Very good service on this route BA2710 30th March. Cabin crew worked hard, particularly Ivka (?) who was on the go throughout the flight. Everything you would expect of BA (and as it used to be!) Shame the same cannot be said on our recent flight back from Singapore, in Business Class on 11th Feb BA12. Miserable, unhappy and tetchy crew. Too lazy to do anything except sleep! Perhaps BA need to promote some of their short-haul performers, and let the others go.",10,31st March 2025, (United Kingdom) 
33,"✅ Trip Verified |   Flight mainly let down by a disagreeable flight attendant. No queue to check in at Cape Town - good. However checkin agent was unfamiliar with BA size and weight rules for sports bags so had to wait 10 minutes while phone calls were made -- annoying. Lounge was good. Gate service was excellent with organised queues. Seat was good (the new upgraded Club Suite). The zip broke off the amenity kit so it was unusable -- BA cutting corners too much here. Offered a cocktail service which came promptly and the drink was excellent. But no nuts! So I went off to the galley to ask for some nuts or a snack to go with it. I spoke to a male flight attendant who looked at me with utter distaste that I had the temerity to ask for nuts. The he said ""where have you come from?"". What a bizarre question. I said ""seat 8E"" to which he responded with a flick of his hand - ""go ask her, she's serving you."" I was stunned - I have not been treated that way in even the cheapest restaurants, let alone business class on a premium airline. The gentlemen concerned has no place in service or hospitality and should find a different line of work. Anyway, the food was good. The IFE worked fine. WiFi wasn't working. I managed 6.5 hours sleep and we got off the plane promptly despite being at a remote stand, requiring a bus. The luggage took quite a while to arrive. Overall 7/10. Would be 9/10 but for the rude staff member.",7,19th March 2025, (United Kingdom) 
34,✅ Trip Verified |   Another awful experience by British Airways. This flight was delayed nearly 1 hour. British Airways charges an extortionate amount for their tickets but the service is bad for me.,1,16th March 2025, (United States) 
35,"✅ Trip Verified |   The service was rude, full of attitude to me, the food is poorly serviced, the cabin during the flight was never cleaned in particularly the toilets.",3,16th March 2025, (United States) 
36,"✅ Trip Verified |   This flight was a joke. There was four people in business class including myself and my companion. The service was outrageous. The crew was too busy flirting with the captain and where she was going for the day off, instead of paying attention in the cabin. ",1,16th March 2025, (United States) 
37,"✅ Trip Verified |   This time British Airways managed to get everything right. The price of the tickets was reasonable and the timing was perfect. Boarding was smooth and the seats were comfortable – easy reline to enable dozing and sufficient pitch to get in and out. The table was firm enough to allow the use of a small laptop and mouse. A pre-flight soft drink or Prosecco was offered and both the food and drink were more than sufficient. The best part was the cabin crew – two in PE and they were both extremely efficient, pleasant and witty. There was a good selection of movies and both the screen and the headset worked perfectly.",9,7th March 2025, (United Kingdom) 
38,"✅ Trip Verified |   The seats were excellent, with a feel of much more room than the official seat pitch (I am 6ft 1in). We could sleep for a couple of hours (daytime flight), with the blinds down as they should be (no point booking a window seat in my view). I focus on seat quality much more than smiley faces and food (the food was middling, and the second meal, before landing, was distinctly sub-par).",9,28th February 2025, (United Kingdom) 
39,"✅ Trip Verified |   After the nightmare of getting through triple security at Nairobi Airport, I was looking forward to a glass of something lovely to unwind on the plane. Fat chance. An hour and a half after takeoff we were finally served a drink and meal together. I keep reading how well BA are now doing, but on both legs of this trip the crew were awful. The club suites are a great improvement but if the staff make no effort, what’s the point? On a positive note we were told my wife’s seat was broken and could not recline. I was going to swop, but at the gate they found her another. Prior to this we received an email within 30 minutes of check in with a healthy portion of Avios already added to our account. Well done customer service.",5,27th February 2025, (United Kingdom) 
40,✅ Trip Verified |   Prior to boarding a gate agent seemed to pick on elderly people and asked them to check in relatively small bags. By contrast the same staff member looked the other way to a boisterous group of 20 somethings all of whom had large amounts of luggage. London Gatwick to Marrakech with British Airways was rather disappointing. The flight is just over 3 hours and during this flight passengers in economy were offered a tiny packet of digestive biscuits. No water was offered other than a cabin crew member walking through the aisle with a bottle of mineral water and plastic cups. She claimed she ran out of water and so many passengers did not even get that miserly offering. There was no route map on this A320. The captain made only 2 very brief announcements. When I needed to use the lavatory one cabin crew member rudely drew the curtain as she was sitting behind the lavatories with one of her colleagues – they were loudly talking about their boyfriends and ignored an elderly man who was struggling to open the small door to the lavatory. I shall add that the lavatory was unclean and had water on the floor. One concern was the seemingly casual approach to the safety demonstration. Disembarkation was not well managed either. This route is very competitive and these days one has a lot of choice. I will not use British Airways on this route.,3,21st February 2025, (United Kingdom) 
41,"✅ Trip Verified |   I flew from Amsterdam to Las Vegas with a layover in Heathrow in November 2024. The day we were flying the weather wasn't great. Since I was on business I really needed to get to Las Vegas, we anticipated on it and checked early if our flight was still leaving. We would have had ample time to catch an earlier flight to Heathrow or even take the train when we checked. According to google our flight was delayed and we would miss our connection. According to the staff of British airways the flight was not delayed and there was no reason for panic. When we got to the airport there was still nothing wrong with our connection. An hour before we were supposed to leave it was announced that the plane wasn't there yet and we would have a major delay. We called customer service and they told us to just go to London and see from there. We wanted some kind of assurance that we could be placed in a hotel since we would not be making our connecting flight and they refused to give those. In the end we found a direct flight the next day and convinced British airways to book that for us. Even though they wanted to connect us through 3 additional layovers.. This resulted in approximately a 24 hour delay in our trip. On our way back home they lost our luggage at the gate and took approximately 2 hours to find it at a wrong gate. On the way back we tried to check in through the online portal. My colleague was able to check in just fine but I couldn't. I was afraid I was overbooked and contacted customer service 3 times.  When I got to the airport I was overbooked and the ground staff had the nerve to tell me it was my fault for not checking in online. Since we were seated in premium economy I could be moved to regular economy but that does mean someone in economy was bumped off the plane. When we got to London our flight back to Amsterdam was delayed. This was because there were disabled people on board of the plane still and there were not enough wheelchairs to get them off. It took approximately 2 hours before boarding could begin.  When we finally boarded we were told we needed a new pilot because the old pilot had now made too many hours waiting around to still fly us to Amsterdam. Arriving in Amsterdam they had left my luggage in Las Vegas so I needed to wait for another week before that was given back to me. Afterwards I have made a claim as soon as possible for my delays and hotel costs, it's been almost 3 months and they still haven't replied. Every time I contact them they claim they have such a huge backlog that it takes long to process them. ",1,18th February 2025, (Netherlands) 
42,"✅ Trip Verified | First the good news, the club suites are such a huge improvement over the old business seats I hope I never see one again. The not so good news I’m afraid to say was the flight itself. The food has really gone downhill since my last flight, presumably this is a cost cutting measure. If other airlines can offer a really decent quality meal why can’t an airline of BA’s stature? I’ve always thought that a good crew can make up for all the shortcomings but not this time. The crew member looking after me could not have been more bored and was obviously just going through the motions. They couldn’t even be bothered to say cheerio, and I’m not sure I would have answered if they did. Here’s hoping my return is a more satisfying experience.",4,14th February 2025, (United Kingdom) 
43,"✅ Trip Verified |   I have never travelled with British airways before and this is the first time I chose to travel with BA due to the cheapest fare available during this time but I was bit unsure if I can enjoy my travel journey due to mixed reviews. I would like to express my extreme joy and satisfaction travelling with this amazing airline. I haven't seen such a great, efficient and friendly service by the cabin crew. I would like to personally thanks Ellie and Adam who were not only very professional but very kind too. Food served was delicious and the drinks were good too. I can say that I thoroughly enjoyed this flight and do not hesitate to recommend to anyone to try it",9,14th February 2025, (United Kingdom) 
44,"✅ Trip Verified | Terrible overall, medium service and the flight was delayed. There was no help at all to reschedule a connecting flight. The customer support was terrible and the request for compensation is still pending after one year.",1,7th February 2025, (Switzerland) 
45,"✅ Trip Verified |   London Heathrow to Male In new business class. BA continues to get its mojo back starting with a classy lounge serving innovative, and interesting, quality pre-flight food (beetroot scotch eggs?). Excellent wine (Whispering Angel). Presentation of on-board food has always been a bit hit and miss with BA, but on this occasion it was tasty and OK. Friendly and efficient on board crew. Smile, treat them respectfully, and as equals.  On time flight and early arrival.  Only awarding a 9 because we were bussed from A-C gates, otherwise a really enjoyable experience.",9,1st February 2025, (United Kingdom) 
46,Not Verified |  Very good flight following an equally good flight to Rome. Good food (especially on an evening flight) and aircraft early both ways. Just what short haul should be.,9,20th January 2025, (United Kingdom) 
47,Not Verified |  An hour's delay due to late arrival of the incoming aircraft. The captain was a particularly able communicator who kept us in touch with the situation. We got freebie upgrades to emergency exit seats from a friendly member of the crew. In the end we were only 30 minutes behind schedule in a relatively comfortable elderly plane. Pretty stress free.,7,19th January 2025, (United Kingdom) 
48,"✅ Trip Verified |   I booked through BA because Loganair don’t have representatives in Manchester airport. Loganair cancelled the flight but someone at BA marked the flight as delayed by 52 minutes. I’ve spent over 70 days chasing BA’s complaints department who are at best totally ineffective. They won’t put you through to the people dealing with the claim (apparently they don’t have the facility to do so!), they won’t phone Loganair, they won’t look on Manchester airports historic flight website to confirm the cancellation, they won’t put you through to a supervisor in fact they do very little but apologise for how little they do. ",1,15th January 2025, (United Kingdom) 
49,"✅ Trip Verified |   British airways lost bags in LHR then found them. Sent to Cologne where it sat for two days before they told me, but no one was there to give it to me. I spent 10 days in Europe without a bag, bought clothes. BA refused to reimburse me. They closed the case 10 days after i returned to the states when my bag showed up at my front door. They wont let you talk to management, they say they email mail you but they don't then you call customer service. they say they will escalate it but you will never know. they don't update the claims or the forms. ",1,9th January 2025, (United States) 
50,"✅ Trip Verified | The check in process and reward/loyalty program is a mess. I am never able to get points, even when trying it through a partner airline. Unfortunately for work I have to travel with them sometimes.  This time, the flight was delayed.",1,5th January 2025, (Netherlands) 
51,"✅ Trip Verified |   We flew in November 2023, but it took this long to seek a satisfactory response from BA, which we ultimately never received. BA refused to re-book my son and me at no cost that day due to lack of Underground service / alternate service. BA forced us to buy new tickets and never admitted that they subjected us to disparate treatment. I will not be flying or recommending BA again.",1,4th January 2025, (United States) 
52,"✅ Trip Verified | I left for London from Johannesburg at 21:15 on 22 December 2024. My only issue with that flight was the pillows they gave us were dirty and when my 7 year old dropped some juice and I asked a cabin crew member walking past for some serviettes she told me to go to the bathroom to get some to clean it up. Those issues weren’t pleasant but certainly not a major problem. I was booked on the BA0057 at 21:15 on 31 December 2024 to return to Johannesburg. The flight was delayed to the 1 January 2025 at 12:00pm. I had a connecting flight to Durban and do not live in Johannesburg. Landing in Johannesburg with 3 children at 1 am was not an option for me. BA changed my flight to 2nd January 2025 at 18:25. I requested a sooner date so I could get home sooner. I was given 1 January 2025 at 21:15. I accepted this as this is the original time I opted for and would he most convenient for me as I was doing a connection in Johannesburg to Durban. Unfortunately this flight was delayed till 2nd January at 17:00. I was extremely upset by this as I was absolutely exhausted and had 3 children who were absolutely exhausted. I also suffer from eczema and hay fever and did not have my creams and medication. This caused my eczema to flare up so badly, even my lips were cracked and burning. My allergies were so severe that my eyes were sticking together and I couldn’t stop sneezing. My daughter also has eczema and has had a flare up. The staff had no sympathy or empathy for a mother traveling alone and her children. I was just told that they know it’s an inconvenience and a lady even snapped at me that they trying their best. My children are 4, 7 and 11 and we were all booked on separate seats. Is that even legal let alone ethical? They were refusing to help me and saying they can’t do anything. I approached 3 people, and the third person finally put us together. So they could clearly help me??? My flight from Johannesburg to Durban was originally booked on South African Airways and I paid a lot for this ticket as South African Airways is not a low cost airline. I was given a cheap low cost Airline, CemAir, which I had never even heard of, to replace my SAA flight. I suffer from flight anxiety and this is why I never book low cost airlines with tiny flights. My anxiety went through the roof on the flight! Besides all of this, I am also left with a huge credit card bill as I used up all my pounds on the 1st! I know BA is obliged to compensate me for the inconvenience under EU law but besides the compensation BA staff really needs to show more empathy for their passengers, like me, who had two hours long flight delays two days in a row and was alone with 3 children. I expect my full compensation for all of us as this has been by far the worst experience I have had traveling. All their staff kept saying is “that’s why you will get compensation.” I am now waiting to see if I get compensated as I was promised by all of their ground staff! Legally they have to under EU law, so let’s see if they put up a fight or do what is ethical and legal.",1,3rd January 2025, (South Africa) 
